	hCiPSCs_2_corr	hCiPSCs_2_pval	hCiPSCs_2_qval	hCiPSCs_2_ci_low	hCiPSCs_2_ci_high
CRYBA4	0.14430074161880926	1.307215169109978e-38	1.1964649950603824e-37	0.12277531191302134	0.16569046682159458
CFL1	0.1442689799775033	1.3577242399742768e-38	1.23696812093509e-37	0.12274336381568764	0.16565892023649742
SRSF3	0.143851908382733	2.2318263836886604e-38	2.0240003488772854e-37	0.12232384795041985	0.1652446685474495
WFDC2	0.14367693768998455	2.748016662171054e-38	2.48074380872702e-37	0.12214785412307544	0.16507087861946287
NLRP7	0.14360673805640126	2.9870315364140684e-38	2.6842551579502787e-37	0.12207724438031077	0.16500115234466056
TSTD1	0.14352358297960582	3.297014607112374e-38	2.94941080464306e-37	0.12199360379006274	0.1649185577089957
MT-ND5	0.14338317530404904	3.894635770345277e-38	3.4683310441318077e-37	0.12185237701718928	0.16477909565940888
RP1-46F2.2	0.1433507548684234	4.047260736127951e-38	3.588087208665901e-37	0.12181976757411495	0.16474689344928567
METAP2	0.1432203431737715	4.723616020017849e-38	4.16901288909611e-37	0.12168859606365814	0.16461735910926842
AP1M2	0.14315090976245903	5.128388215240796e-38	4.506143778458246e-37	0.12161875842025363	0.16454839251545056
DIAPH2	0.1430754858139888	5.60721705781715e-38	4.905074390842702e-37	0.12154289560515398	0.16447347542322502
FEN1	0.14305434614256046	5.749220040672389e-38	5.007140097096613e-37	0.1215216329742108	0.1644524777681444
SLC7A8	0.1429734229096175	6.326620808429562e-38	5.485846200993528e-37	0.12144023923154093	0.16437209799840127
PTPRZ1	0.14292039834730502	6.735849410627645e-38	5.81518527720998e-37	0.12138690652701369	0.1643194293836433
MRTO4	0.1428748624833207	7.108208235766006e-38	6.109968557438867e-37	0.12134110613920004	0.16427419909909177
MIF	0.1424291452860487	1.202485621874611e-37	1.0291402919680112e-36	0.12089280455324215	0.16383146824372846
RPS8	0.14189077924432522	2.2639509717978532e-37	1.929237530708774e-36	0.12035132863334268	0.16329669780253614
HSP90B1	0.14183143280773508	2.427121934214747e-37	2.0594077527650452e-36	0.12029164016557059	0.16323774695493307
MYCN	0.14178644244037408	2.55856218729906e-37	2.1616570274744623e-36	0.1202463906091099	0.1631930563806113
ATP5J2	0.1416333386870644	3.0611429687993904e-37	2.575267935879317e-36	0.1200924054969897	0.1630409721750833
UGP2	0.14136153554557582	4.206689484819275e-37	3.5239936913083505e-36	0.11981904024375056	0.16277097651755962
MT-ND2	0.14132276929430154	4.40157856091314e-37	3.671696546381974e-36	0.11978005146057412	0.1627324677996001
COX8A	0.14126048353196258	4.733662355641684e-37	3.932122049203197e-36	0.11971740829522567	0.1626705956796257
UBE2S	0.14121948047909594	4.965745369542039e-37	4.107647947943352e-36	0.11967617005566268	0.16262986483784875
ZSCAN10	0.1400096603983699	2.025320739436626e-36	1.6614353119776804e-35	0.11845944410219361	0.16142804367093228
YWHAZ	0.13921569921698854	5.060315323988271e-36	4.133984874183807e-35	0.11766098601547607	0.16063929736035432
MT-ND1	0.13907654569749606	5.937932682518141e-36	4.830984737999327e-35	0.11752104721663204	0.16050105500649386
SRM	0.13866680617778807	9.500248126151783e-36	7.697537108771342e-35	0.11710900040206268	0.16009399354561593
